Username,Posted At,Post Content,Image URL,Video URL
OnlinePalEng,2024-03-02T10:36:51.000Z,"A young Libyan Mohamed Alnaas produced a boycott video delivering a clear message, urging people to boycott products that support Israeli apartheid.",,
OnlinePalEng,2024-01-27T05:48:13.000Z,"Spotted in a pro-Palestine demonstration in Ottawa, Canada.",https://pbs.twimg.com/media/GE06RN7WYAEfz2r?format=jpg&name=900x900,
OnlinePalEng,2024-09-21T09:32:53.000Z,"Spanish actor and Oscar winner, Javier Bardem, speaks out for Gaza at the San Sebastián Film Festival, calling out the Israeli occupation for committing war crimes. ",,
OnlinePalEng,2024-09-19T08:44:08.000Z,"The King of Spain officially receives the credentials of the first Palestinian ambassador to his country, following Spain's decision to recognize the State of Palestine in May.",,
OnlinePalEng,2024-07-14T13:24:42.000Z,A Japanese artist wears a traditional kimono adorned with the keffiyeh to share messages of solidarity with Gaza on her social media. ,,
OnlinePalEng,2023-10-21T19:31:16.000Z,Activists light up the Palestinian flag with the phrase “Stop Genocide in Gaza” on the German Parliament building.,https://pbs.twimg.com/media/F8_K2D7WMAAn3VF?format=jpg&name=900x900,
OnlinePalEng,2024-06-28T17:51:33.000Z,"Argentine artist Gabriel Giunta created a poignant recycled sculpture depicting a child trapped under rubble, honoring the thousands of Palestinian children buried in Gaza's ruins.",,
OnlinePalEng,2024-04-09T10:37:24.000Z,A Palestinian girl shares a video of her family’s home before and after the Israeli ongoing onslaught on Gaza.,,
OnlinePalEng,2024-05-04T12:02:17.000Z,"A Japanese activist, Yusuke Furusawa, boldly demonstrating every day to advocate for Palestine after learning about the ongoing genocide there. “I know many Japanese people are not aware, and I hope to speak out and educate them.""",,
OnlinePalEng,2023-11-20T18:26:05.000Z,"Despite attempts by the Israeli lobby to cancel the event, Roger Waters of Pink Floyd took the stage in Uruguay, donning a Kufiyyah and advocating for an end to the Israeli genocide in Gaza.",,
OnlinePalEng,2024-11-04T19:44:25.000Z,"An Irish girl sent a message of solidarity with the Palestinian children in Gaza, during a protest in Cork.",,
OnlinePalEng,2023-10-29T10:19:38.000Z,A Palestinian man takes care of the only survivor of his neighbor’s family after the rest were murdered in an Israeli airstrike in #Gaza.,,
