title,link,date
হোয়াইটওয়াশ বাঁচাবে নাকি শিখবে!,news.php?news=131267,"১২ অক্টোবর ২০২৪, শনিবার"
ফর্টিসের স্ট্রাইকার ওমরকে নিলো কিংস,news.php?news=131264,"১২ অক্টোবর ২০২৪, শনিবার"
দুঃসংবাদ সঙ্গী করে বাংলাদেশে আসছে দক্ষিণ আফ্রিকা,news.php?news=131262,"১২ অক্টোবর ২০২৪, শনিবার"
শিশুদের মাঝেই বেঁচে থাকবেন ‘ওস্তাদ ফজলু’,news.php?news=131260,"১২ অক্টোবর ২০২৪, শনিবার"
ইতালিতে হার এড়িয়ে যা বললেন বেলজিয়ামের কোচ,news.php?news=131258,"১২ অক্টোবর ২০২৪, শনিবার"
ভেনেজুয়েলায় হোঁচট খেয়ে ক্ষুব্ধ মেসিরা,news.php?news=131252,"১২ অক্টোবর ২০২৪, শনিবার"
ইংল্যান্ডের কাছে হেরে যেসব লজ্জার রেকর্ডের সঙ্গী হলো পাকিস্তান,news.php?news=131250,"১২ অক্টোবর ২০২৪, শনিবার"
নতুন জেসুসের চমক/চারে উঠে এলো ব্রাজিল,news.php?news=131248,"১২ অক্টোবর ২০২৪, শনিবার"
ওয়েম্বলিতে ‘শোককে শক্তিতে পরিণত করেছিল গ্রিকরা’,news.php?news=131247,"১২ অক্টোবর ২০২৪, শনিবার"
ক্রিকেটারদের গ্রেডিং নিয়ে প্রশ্ন ইমরুল কায়েসের,news.php?news=131166,"১১ অক্টোবর ২০২৪, শুক্রবার"
লজ্জার বিশ্বরেকর্ড গড়ে ইনিংস ব্যবধানে হারল পাকিস্তান,news.php?news=131159,"১১ অক্টোবর ২০২৪, শুক্রবার"
জিততে পারল না আর্জেন্টিনা,news.php?news=131150,"১১ অক্টোবর ২০২৪, শুক্রবার"
চিলিকে হারিয়ে জয়ে ফিরল ব্রাজিল,news.php?news=131148,"১১ অক্টোবর ২০২৪, শুক্রবার"
অভিযোগ নাকি অজুহাত,news.php?news=131125,"১১ অক্টোবর ২০২৪, শুক্রবার"
বাফুফে নির্বাচন/সভাপতি পদে তাবিথের প্রতিপক্ষ ‘অচেনা’ মিজান,news.php?news=131124,"১১ অক্টোবর ২০২৪, শুক্রবার"
পারিশ্রমিক কমলো বিপিএলে/‘ই’ থেকে ‘এ’ শ্রেণিতে রিশাদ,news.php?news=131123,"১১ অক্টোবর ২০২৪, শুক্রবার"
অ্যাম্পুটি ফুটবলে সেরা বাংলাদেশ,news.php?news=131122,"১১ অক্টোবর ২০২৪, শুক্রবার"
বিপিএলে নতুন দলে শরিফুল,news.php?news=131121,"১১ অক্টোবর ২০২৪, শুক্রবার"
বিদায় ‘ক্লে কোর্টের রাজা’,news.php?news=131120,"১১ অক্টোবর ২০২৪, শুক্রবার"
ইতিহাসের দ্বিতীয় দ্রুততম ট্রিপল সেঞ্চুরি ব্রুকের/ইনিংস ব্যবধানে হারের মুখে পাকিস্তান,news.php?news=131119,"১১ অক্টোবর ২০২৪, শুক্রবার"
অসুস্থ আবরার শেষ দিনে অনিশ্চিত,news.php?news=131118,"১১ অক্টোবর ২০২৪, শুক্রবার"
ডাবল সেঞ্চুরিতে আরেক রেকর্ডে জো রুট,news.php?news=131117,"১১ অক্টোবর ২০২৪, শুক্রবার"
বাবার মৃত্যু/বিশ্বকাপের মাঝে দেশে ফিরলেন পাকিস্তান অধিনায়ক,news.php?news=131116,"১১ অক্টোবর ২০২৪, শুক্রবার"
"টস হেরে ব্যাটিংয়ে বাংলাদেশ, জয়ের বিকল্প নেই আজ",news.php?news=131058,"১০ অক্টোবর ২০২৪, বৃহস্পতিবার"
